"Payload(Bytes)" "PCIe Write BW" "PCIe Write Trans/s" "PCIe Read BW" "PCIe Read Trans/s" "PCIe Read/Write BW" "PCIe Read/Write Trans/s" "40G Ethernet BW" "40G Ethernet PPS" 
227 52.35 28827074.5 53.20 29293909.7 47.78 26311257.1 36.76 20242914
228 52.37 28712681.4 53.22 29175789.1 47.82 26215926.5 36.77 20161290
229 52.39 28599192.5 53.24 29058617.3 47.85 26121284.1 36.79 20080321
230 52.42 28486597.3 53.25 28942382.8 47.89 26027322.7 36.80 20000000
231 52.44 28374885.1 53.27 28827074.5 47.93 25934034.8 36.81 19920318
232 52.46 28264045.7 53.29 28712681.4 47.96 25841413.2 36.83 19841269
233 52.48 28154068.9 53.31 28599192.5 48.00 25749450.9 36.84 19762845
234 52.50 28044944.6 53.33 28486597.3 48.03 25658140.8 36.85 19685039
235 52.52 27936662.9 53.34 28374885.1 48.07 25567476.0 36.86 19607843
236 52.54 27829214.2 53.36 28264045.7 48.10 25477449.7 36.88 19531250
237 52.56 27722588.9 53.38 28154068.9 48.14 25388055.1 36.89 19455252
238 52.58 27616777.5 53.40 28044944.6 48.17 25299285.7 36.90 19379844
239 52.60 27511770.7 53.41 27936662.9 48.20 25211134.9 36.91 19305019
240 52.62 27407559.5 53.43 27829214.2 48.24 25123596.2 36.92 19230769
241 52.64 27304134.7 53.45 27722588.9 48.27 25036663.3 36.93 19157088
242 52.66 27201487.6 53.47 27616777.5 48.30 24950330.0 36.95 19083969
243 52.68 27099609.4 53.48 27511770.7 48.34 24864590.0 36.96 19011406
244 52.70 26998491.4 53.50 27407559.5 48.37 24779437.3 36.97 18939393
245 52.72 26898125.3 53.52 27304134.7 48.40 24694865.9 36.98 18867924
246 52.74 26798502.6 53.53 27201487.6 48.43 24610869.7 36.99 18796992
247 52.76 26699615.1 53.55 27099609.4 48.47 24527443.1 37.00 18726591
248 52.78 26601454.8 53.57 26998491.4 48.50 24444580.1 37.01 18656716
249 52.80 26504013.6 53.58 26898125.3 48.53 24362275.1 37.03 18587360
250 52.81 26407283.6 53.60 26798502.6 48.56 24280522.5 37.04 18518518
251 52.83 26311257.1 53.61 26699615.1 48.59 24199316.7 37.05 18450184
252 52.85 26215926.5 53.63 26601454.8 48.62 24118652.3 37.06 18382352
253 52.87 26121284.1 53.64 26504013.6 48.65 24038523.9 37.07 18315018
254 52.89 26027322.7 53.66 26407283.6 48.68 23958926.2 37.08 18248175
255 52.91 25934034.8 53.67 26311257.1 48.71 23879853.8 37.09 18181818
256 52.92 25841413.2 53.69 26215926.5 48.75 23801301.7 37.10 18115942
257 48.78 23723264.6 50.09 24362275.1 45.22 21992692.1 37.11 18050541
258 48.80 23645737.6 50.11 24280522.5 45.26 21926047.6 37.12 17985611
259 48.83 23568715.6 50.14 24199316.7 45.29 21859805.8 37.13 17921146
260 48.86 23492193.8 50.17 24118652.3 45.33 21793963.0 37.14 17857142
261 48.89 23416167.3 50.19 24038523.9 45.37 21728515.6 37.15 17793594
262 48.92 23340631.3 50.22 23958926.2 45.41 21663460.2 37.16 17730496
263 48.95 23265581.0 50.24 23879853.8 45.44 21598793.1 37.17 17667844
264 48.98 23191011.9 50.27 23801301.7 45.48 21534511.0 37.18 17605633
265 49.01 23116919.2 50.29 23723264.6 45.52 21470610.4 37.19 17543859
266 49.04 23043298.4 50.32 23645737.6 45.55 21407087.9 37.20 17482517
267 49.06 22970145.1 50.34 23568715.6 45.59 21343940.1 37.21 17421602
268 49.09 22897454.8 50.37 23492193.8 45.63 21281163.8 37.22 17361111
269 49.12 22825223.0 50.39 23416167.3 45.66 21218755.7 37.23 17301038
270 49.15 22753445.6 50.42 23340631.3 45.70 21156712.6 37.24 17241379
271 49.17 22682118.2 50.44 23265581.0 45.73 21095031.2 37.25 17182130
272 49.20 22611236.6 50.46 23191011.9 45.77 21033708.4 37.26 17123287
273 49.23 22540796.6 50.49 23116919.2 45.80 20972741.2 37.27 17064846
274 49.26 22470794.1 50.51 23043298.4 45.84 20912126.3 37.28 17006802
275 49.28 22401225.1 50.53 22970145.1 45.87 20851860.8 37.29 16949152
276 49.31 22332085.5 50.56 22897454.8 45.91 20791941.7 37.30 16891891
277 49.34 22263371.4 50.58 22825223.0 45.94 20732365.9 37.31 16835016
278 49.36 22195078.8 50.60 22753445.6 45.98 20673130.6 37.32 16778523
279 49.39 22127204.0 50.63 22682118.2 46.01 20614232.8 37.32 16722408
280 49.41 22059743.0 50.65 22611236.6 46.04 20555669.6 37.33 16666666
281 49.44 21992692.1 50.67 22540796.6 46.08 20497438.3 37.34 16611295
282 49.47 21926047.6 50.69 22470794.1 46.11 20439535.9 37.35 16556291
283 49.49 21859805.8 50.72 22401225.1 46.14 20381959.7 37.36 16501650
284 49.52 21793963.0 50.74 22332085.5 46.18 20324707.0 37.37 16447368
285 49.54 21728515.6 50.76 22263371.4 46.21 20267775.1 37.38 16393442
286 49.57 21663460.2 50.78 22195078.8 46.24 20211161.2 37.39 16339869
287 49.59 21598793.1 50.80 22127204.0 46.28 20154862.7 37.39 16286644
288 49.62 21534511.0 50.83 22059743.0 46.31 20098877.0 37.40 16233766
289 49.64 21470610.4 50.85 21992692.1 46.34 20043201.4 37.41 16181229
290 49.66 21407087.9 50.87 21926047.6 46.37 19987833.4 37.42 16129032
291 49.69 21343940.1 50.89 21859805.8 46.40 19932770.5 37.43 16077170
292 49.71 21281163.8 50.91 21793963.0 46.44 19878010.2 37.44 16025641
293 49.74 21218755.7 50.93 21728515.6 46.47 19823549.9 37.44 15974440
294 49.76 21156712.6 50.95 21663460.2 46.50 19769387.2 37.45 15923566
295 49.78 21095031.2 50.97 21598793.1 46.53 19715519.6 37.46 15873015
296 49.81 21033708.4 50.99 21534511.0 46.56 19661944.8 37.47 15822784
297 49.83 20972741.2 51.01 21470610.4 46.59 19608660.4 37.48 15772870
298 49.85 20912126.3 51.03 21407087.9 46.62 19555664.1 37.48 15723270
299 49.88 20851860.8 51.05 21343940.1 46.65 19502953.4 37.49 15673981
300 49.90 20791941.7 51.07 21281163.8 46.68 19450526.1 37.50 15625000
301 49.92 20732365.9 51.09 21218755.7 46.71 19398379.9 37.51 15576323
302 49.95 20673130.6 51.11 21156712.6 46.74 19346512.6 37.52 15527950
303 49.97 20614232.8 51.13 21095031.2 46.77 19294921.9 37.52 15479876
304 49.99 20555669.6 51.15 21033708.4 46.80 19243605.6 37.53 15432098
305 50.01 20497438.3 51.17 20972741.2 46.83 19192561.5 37.54 15384615
306 50.04 20439535.9 51.19 20912126.3 46.86 19141787.6 37.55 15337423
307 50.06 20381959.7 51.21 20851860.8 46.89 19091281.5 37.55 15290519
308 50.08 20324707.0 51.23 20791941.7 46.92 19041041.3 37.56 15243902
309 50.10 20267775.1 51.25 20732365.9 46.95 18991064.8 37.57 15197568
310 50.12 20211161.2 51.27 20673130.6 46.97 18941350.0 37.58 15151515
311 50.15 20154862.7 51.29 20614232.8 47.00 18891894.8 37.58 15105740
312 50.17 20098877.0 51.31 20555669.6 47.03 18842697.1 37.59 15060240
313 50.19 20043201.4 51.33 20497438.3 47.06 18793755.1 37.60 15015015
314 50.21 19987833.4 51.34 20439535.9 47.09 18745066.6 37.60 14970059
315 50.23 19932770.5 51.36 20381959.7 47.12 18696629.7 37.61 14925373
316 50.25 19878010.2 51.38 20324707.0 47.14 18648442.5 37.62 14880952
317 50.27 19823549.9 51.40 20267775.1 47.17 18600503.1 37.63 14836795
318 50.29 19769387.2 51.42 20211161.2 47.20 18552809.5 37.63 14792899
319 50.31 19715519.6 51.44 20154862.7 47.23 18505359.9 37.64 14749262
320 50.33 19661944.8 51.45 20098877.0 47.25 18458152.3 37.65 14705882
321 50.36 19608660.4 51.47 20043201.4 47.28 18411185.0 37.65 14662756
322 50.38 19555664.1 51.49 19987833.4 47.31 18364456.1 37.66 14619883
323 50.40 19502953.4 51.51 19932770.5 47.33 18317963.8 37.67 14577259
324 50.42 19450526.1 51.52 19878010.2 47.36 18271706.3 37.67 14534883
325 50.44 19398379.9 51.54 19823549.9 47.39 18225681.9 37.68 14492753
326 50.46 19346512.6 51.56 19769387.2 47.41 18179888.7 37.69 14450867
327 50.48 19294921.9 51.58 19715519.6 47.44 18134325.1 37.69 14409221
328 50.50 19243605.6 51.59 19661944.8 47.47 18088989.3 37.70 14367816
329 50.51 19192561.5 51.61 19608660.4 47.49 18043879.6 37.71 14326647
330 50.53 19141787.6 51.63 19555664.1 47.52 17998994.3 37.71 14285714
331 50.55 19091281.5 51.64 19502953.4 47.54 17954331.8 37.72 14245014
332 50.57 19041041.3 51.66 19450526.1 47.57 17909890.4 37.73 14204545
333 50.59 18991064.8 51.68 19398379.9 47.59 17865668.4 37.73 14164305
334 50.61 18941350.0 51.69 19346512.6 47.62 17821664.3 37.74 14124293
335 50.63 18891894.8 51.71 19294921.9 47.64 17777876.4 37.75 14084507
336 50.65 18842697.1 51.73 19243605.6 47.67 17734303.2 37.75 14044943
